model_name,lr_law,batch_size_per_gpu,global_batch_size,n_f,num_gpus,learning_rate,adam_steps,training_time_sec,l2_error,l2_t0.25,l2_t0.5,l2_t0.75,l2_t1.0,final_loss,n_parameters,seed,scheduler,grad_sync,local_points,batch_exceeds_local_data,unique_points_per_batch,gpu_name,torch_version,l2_norm,l2_mean,l_inf,mass_balance_rel_mean,mass_balance_rel_final,mass_balance_mean,mass_balance_max,mass_t0
baseline_lr1.000e-03_bs32_gpu2,baseline,32,64,10000,2,0.001,15000,63.13680870598182,0.27850916206904447,0.4374836594262652,0.39839966874551846,0.2712799526076368,0.006873367496757387,0.019248105585575104,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,3.122827e-01,3.501010e-01,7.089385e-01,5.595359e-02,3.315097e-02,2.458214e-02,3.315097e-02,1.023473e-01
baseline_lr1.000e-03_bs64_gpu2,baseline,64,128,10000,2,0.001,15000,61.546820325020235,0.24758285717765802,0.3660648469218989,0.34865097267832545,0.27152594247722844,0.004089666633179168,0.013842537067830563,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.754970e-01,2.980505e-01,7.084140e-01,4.877002e-02,3.282291e-02,2.210047e-02,3.282291e-02,8.041932e-02
baseline_lr1.000e-03_bs128_gpu2,baseline,128,256,10000,2,0.001,15000,62.65591806295561,0.3679319315173385,0.6471981208622192,0.5475619131555512,0.2662108988704352,0.010756793181148241,0.08600244671106339,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,4.146866e-01,5.033467e-01,6.946232e-01,7.855877e-02,4.076279e-02,3.287632e-02,4.135444e-02,2.185624e-01
baseline_lr1.000e-03_bs256_gpu2,baseline,256,512,10000,2,0.001,15000,60.549271938041784,0.16056322164305753,0.2170141704289482,0.20976220990905964,0.21210267227682705,0.0033738339573952596,0.006741314195096493,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,256,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,1.746334e-01,1.833399e-01,6.971912e-01,1.933135e-02,1.453369e-02,8.637270e-03,1.453369e-02,3.420093e-02
baseline_lr1.000e-03_bs512_gpu2,baseline,512,1024,10000,2,0.001,15000,60.305311925010756,0.1757389012056595,0.2178189751192329,0.23988842942907415,0.24391026070816343,0.0013379395661674693,0.009730065241456032,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.039416e-01,2.042678e-01,7.765231e-01,1.778096e-02,1.006811e-02,8.530125e-03,1.333258e-02,-4.294620e-02
baseline_lr1.000e-03_bs1024_gpu2,baseline,1024,2048,10000,2,0.001,15000,61.79133034800179,0.15873546545073228,0.22521649594824442,0.20900433641374472,0.19968029938935555,0.0010407300515843803,0.005352949723601341,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,1.739275e-01,1.885464e-01,6.954716e-01,1.498700e-02,9.531162e-03,6.757273e-03,9.531162e-03,3.014367e-02
baseline_lr1.000e-03_bs2048_gpu2,baseline,2048,4096,10000,2,0.001,15000,63.34296337998239,0.23713433694900418,0.3519001954471292,0.3264812312411784,0.2689969792638554,0.0011589418438537028,0.010573511011898518,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.615055e-01,2.854584e-01,7.074065e-01,3.924346e-02,2.311944e-02,1.752600e-02,2.406144e-02,6.915444e-02
baseline_lr1.000e-03_bs4096_gpu2,baseline,4096,8192,10000,2,0.001,15000,61.61962200701237,0.16181148474877452,0.220232986422257,0.21535949657766293,0.21002276412982396,0.001630691865354236,0.0034533613361418247,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,4096,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,1.761199e-01,1.817383e-01,6.929002e-01,1.728469e-02,1.151823e-02,7.896770e-03,1.151823e-02,3.163701e-02
linearK_lr2.000e-03_bs32_gpu2,linearK,32,64,10000,2,0.002,15000,59.79223699698923,0.23607915532089407,0.34574895668794653,0.32285788337441373,0.26877425591070186,0.006935525310514168,0.018184345215559006,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.575301e-01,2.784553e-01,7.063360e-01,4.224096e-02,2.490240e-02,1.828079e-02,2.490240e-02,6.994363e-02
linearK_lr2.000e-03_bs64_gpu2,linearK,64,128,10000,2,0.002,15000,60.47144557099091,0.24943396445534138,0.3736248350204902,0.3504989255514144,0.2707201863548496,0.002891910894611252,0.019040733575820923,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.776671e-01,3.021801e-01,7.081783e-01,4.398235e-02,2.928709e-02,2.011496e-02,2.928709e-02,8.197658e-02
linearK_lr2.000e-03_bs128_gpu2,linearK,128,256,10000,2,0.002,15000,59.73957135999808,0.3720136395462427,0.6524089927546288,0.5640790123447407,0.2688896852256827,0.002676867859918882,0.059757791459560394,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,4.187732e-01,4.959217e-01,7.023715e-01,9.827251e-02,5.213420e-02,4.199894e-02,5.261785e-02,1.927685e-01
linearK_lr2.000e-03_bs256_gpu2,linearK,256,512,10000,2,0.002,15000,62.42855645599775,0.11967100832774213,0.17089049529163708,0.15523202106729023,0.15116925088314215,0.0013922660688991061,0.004986673593521118,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,256,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,1.336013e-01,1.466002e-01,6.897812e-01,7.494612e-03,6.386531e-03,3.649069e-03,6.386531e-03,1.793322e-02
linearK_lr2.000e-03_bs512_gpu2,linearK,512,1024,10000,2,0.002,15000,60.5858617380145,0.22302557433289003,0.2975041500706664,0.320876990059111,0.26302905534406135,0.010692101857721405,0.046781644225120544,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.576834e-01,2.976324e-01,7.444200e-01,5.100089e-02,3.742261e-02,2.389952e-02,3.742261e-02,1.047480e-01
linearK_lr2.000e-03_bs1024_gpu2,linearK,1024,2048,10000,2,0.002,15000,62.889437015983276,0.06829950741769769,0.10059415994803858,0.08871963726407961,0.0814326516860555,0.002451580772617089,0.001895599765703082,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,7.856806e-02,8.615967e-02,6.466675e-01,7.853012e-04,9.403868e-04,3.214582e-04,9.403868e-04,4.606214e-03
linearK_lr2.000e-03_bs2048_gpu2,linearK,2048,4096,10000,2,0.002,15000,64.1983712320216,0.06708404052746608,0.09708940046232242,0.08687489377584787,0.08157423801644931,0.002797629855244747,0.0011512989876791835,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,7.758147e-02,8.502599e-02,6.460705e-01,8.443409e-04,7.743609e-04,3.208291e-04,7.743609e-04,4.335777e-03
linearK_lr2.000e-03_bs4096_gpu2,linearK,4096,8192,10000,2,0.002,15000,63.4859071749961,0.07121411704443327,0.10425335967890192,0.09200930760582235,0.0859401464268106,0.002653654466198192,0.0006110229878686368,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,4096,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,8.163280e-02,8.867332e-02,6.505257e-01,1.014374e-03,1.166730e-03,5.781051e-04,1.253168e-03,4.459888e-03
sqrtK_lr1.414e-03_bs32_gpu2,sqrtK,32,64,10000,2,0.0014142135623730952,15000,61.1950568180182,0.3816642990164482,0.6746251134554884,0.575065235597154,0.27113261316185955,0.005834233851291067,0.06356565654277802,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,4.280416e-01,5.116043e-01,7.087861e-01,1.014717e-01,5.505668e-02,4.318762e-02,5.505668e-02,2.015750e-01
sqrtK_lr1.414e-03_bs64_gpu2,sqrtK,64,128,10000,2,0.0014142135623730952,15000,60.393985003000125,0.21712624594529253,0.30716944637320315,0.2905093131770951,0.26769453301815804,0.003131691212713798,0.013734692707657814,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.344685e-01,2.502794e-01,7.096317e-01,3.418764e-02,2.254660e-02,1.503756e-02,2.254660e-02,5.813459e-02
sqrtK_lr1.414e-03_bs128_gpu2,sqrtK,128,256,10000,2,0.0014142135623730952,15000,63.56073638499947,0.0929614630600871,0.14494504567590197,0.11448537360947621,0.11041403898778653,0.002001393967183711,0.007005707360804081,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,1.055608e-01,1.239614e-01,6.768408e-01,4.853531e-03,7.055898e-03,2.333198e-03,7.055898e-03,9.554594e-03
sqrtK_lr1.414e-03_bs256_gpu2,sqrtK,256,512,10000,2,0.0014142135623730952,15000,62.17889631702565,0.1423169454570418,0.3402591903986877,0.15729645951295787,0.060327288124076645,0.01138484379244493,0.0598222017288208,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,256,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,1.800453e-01,2.429799e-01,8.875655e-01,2.219966e-02,1.718088e-02,1.055982e-02,1.718088e-02,4.864070e-02
sqrtK_lr1.414e-03_bs512_gpu2,sqrtK,512,1024,10000,2,0.0014142135623730952,15000,62.07721467898227,0.2952568812018481,0.47638287291703985,0.43020565120289844,0.2692875551269961,0.005151445560457905,0.02265939489006996,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,3.330071e-01,3.750262e-01,7.035410e-01,6.611286e-02,3.985131e-02,2.904890e-02,3.985131e-02,1.137431e-01
sqrtK_lr1.414e-03_bs1024_gpu2,sqrtK,1024,2048,10000,2,0.0014142135623730952,15000,60.01743164600339,0.05304514825472888,0.04932431186708493,0.07160791105283537,0.0897938576373584,0.0014545124616367978,0.002943560481071472,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,6.383794e-02,6.699355e-02,7.196659e-01,2.669412e-03,2.206262e-03,1.492505e-03,2.873442e-03,-1.018384e-02
sqrtK_lr1.414e-03_bs2048_gpu2,sqrtK,2048,4096,10000,2,0.0014142135623730952,15000,63.29612824803917,0.24595926522854722,0.365221037427172,0.34735809822944874,0.26904427164077876,0.0022136536167894315,0.013324137777090073,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.738868e-01,2.953905e-01,7.053487e-01,5.169435e-02,3.087785e-02,2.305427e-02,3.126121e-02,7.458451e-02
