rank,model_name,lr_law,batch_size_per_gpu,global_batch_size,n_f,num_gpus,learning_rate,adam_steps,training_time_sec,l2_error,l2_t0.25,l2_t0.5,l2_t0.75,l2_t1.0,final_loss,n_parameters,seed,scheduler,grad_sync,local_points,batch_exceeds_local_data,unique_points_per_batch,gpu_name,torch_version
1,linearK_lr2.000e-03_bs128_gpu2,linearK,128,256,10000,2,0.002,15000,59.73957135999808,0.3720136395462427,0.6524089927546288,0.5640790123447407,0.2688896852256827,0.002676867859918882,0.059757791459560394,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
2,linearK_lr2.000e-03_bs32_gpu2,linearK,32,64,10000,2,0.002,15000,59.79223699698923,0.23607915532089407,0.34574895668794653,0.32285788337441373,0.26877425591070186,0.006935525310514168,0.018184345215559006,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
3,sqrtK_lr1.414e-03_bs1024_gpu2,sqrtK,1024,2048,10000,2,0.0014142135623730952,15000,60.01743164600339,0.05304514825472888,0.04932431186708493,0.07160791105283537,0.0897938576373584,0.0014545124616367978,0.002943560481071472,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
4,baseline_lr1.000e-03_bs512_gpu2,baseline,512,1024,10000,2,0.001,15000,60.305311925010756,0.1757389012056595,0.2178189751192329,0.23988842942907415,0.24391026070816343,0.0013379395661674693,0.009730065241456032,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
5,sqrtK_lr1.414e-03_bs64_gpu2,sqrtK,64,128,10000,2,0.0014142135623730952,15000,60.393985003000125,0.21712624594529253,0.30716944637320315,0.2905093131770951,0.26769453301815804,0.003131691212713798,0.013734692707657814,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
6,linearK_lr2.000e-03_bs64_gpu2,linearK,64,128,10000,2,0.002,15000,60.47144557099091,0.24943396445534138,0.3736248350204902,0.3504989255514144,0.2707201863548496,0.002891910894611252,0.019040733575820923,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
7,baseline_lr1.000e-03_bs256_gpu2,baseline,256,512,10000,2,0.001,15000,60.549271938041784,0.16056322164305753,0.2170141704289482,0.20976220990905964,0.21210267227682705,0.0033738339573952596,0.006741314195096493,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,256,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
8,linearK_lr2.000e-03_bs512_gpu2,linearK,512,1024,10000,2,0.002,15000,60.5858617380145,0.22302557433289003,0.2975041500706664,0.320876990059111,0.26302905534406135,0.010692101857721405,0.046781644225120544,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
9,sqrtK_lr1.414e-03_bs32_gpu2,sqrtK,32,64,10000,2,0.0014142135623730952,15000,61.1950568180182,0.3816642990164482,0.6746251134554884,0.575065235597154,0.27113261316185955,0.005834233851291067,0.06356565654277802,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
10,baseline_lr1.000e-03_bs64_gpu2,baseline,64,128,10000,2,0.001,15000,61.546820325020235,0.24758285717765802,0.3660648469218989,0.34865097267832545,0.27152594247722844,0.004089666633179168,0.013842537067830563,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
