model_name,lr_law,batch_size_per_gpu,global_batch_size,n_f,num_gpus,learning_rate,adam_steps,lbfgs_iterations,lbfgs_closure_calls,time_adam,time_lbfgs,time_total,l2_norm,l2_mean,l_inf,mass_balance_rel_mean,mass_balance_rel_final,mass_balance_mean,mass_balance_max,mass_t0,loss_after_adam,loss_after_lbfgs,after_adam_l2_norm,after_adam_l2_mean,after_adam_l_inf,after_adam_mass_balance_rel_mean,after_adam_mass_balance_rel_final,after_adam_mass_balance_mean,after_adam_mass_balance_max,after_adam_mass_t0,after_lbfgs_l2_norm,after_lbfgs_l2_mean,after_lbfgs_l_inf,after_lbfgs_mass_balance_rel_mean,after_lbfgs_mass_balance_rel_final,after_lbfgs_mass_balance_mean,after_lbfgs_mass_balance_max,after_lbfgs_mass_t0
baseline_lr1.000e-03_bs32_gpu2,baseline,32,64,10000,2,0.001,5000,4898,5480,21.114708379958756,460.64843010297045,481.7631384829292,6.059141e-02,6.705541e-02,6.107221e-01,5.513355e-03,2.108827e-03,2.110372e-03,2.439832e-03,1.060896e-04,0.038056448101997375,5.474675068592188e-06,0.3493495474721113,0.3984214310416476,0.7026654481887817,0.07392677651468639,0.042929291892796595,0.03227936676909462,0.042929291892796595,0.13578140806406735,0.060591409922913855,0.0670554069531003,0.6107221272750276,0.005513355446683631,0.002108827311010031,0.002110372439124201,0.0024398317023800083,0.0001060895752144353
baseline_lr1.000e-03_bs64_gpu2,baseline,64,128,10000,2,0.001,5000,3588,4251,20.53325231699273,356.13112596503925,376.664378282032,5.812619e-02,6.444315e-02,6.040469e-01,4.684054e-03,1.713877e-03,1.783070e-03,2.365570e-03,-2.247341e-05,0.04477277398109436,6.479160524564873e-06,0.38608339505653816,0.4451578395814571,0.7013919949531555,0.10047701748075086,0.05723564042011242,0.043395251389592666,0.05723564042011242,0.15607801464386284,0.05812619018241738,0.06444315014832226,0.604046901040412,0.00468405362407908,0.001713877028856725,0.0017830696985197097,0.0023655698697473745,-2.2473414759774194e-05
baseline_lr1.000e-03_bs128_gpu2,baseline,128,256,10000,2,0.001,5000,8298,14799,20.901861321006436,1227.9237665050314,1248.8256278260378,5.369962e-02,6.053205e-02,5.955451e-01,1.249679e-02,4.857485e-03,4.828865e-03,4.959841e-03,6.612588e-04,0.10133959352970123,1.092779536000959e-05,0.40172732211353374,0.49053044621515435,0.6943186521530151,0.09258624018233533,0.050100766969845,0.03932525804205806,0.050100766969845,0.21081629130989316,0.05369961926089857,0.060532050581753906,0.5955451063761327,0.01249678861655943,0.004857484546789914,0.00482886475411015,0.004959841422604697,0.000661258825093779
baseline_lr1.000e-03_bs256_gpu2,baseline,256,512,10000,2,0.001,5000,6506,7431,21.206622756028082,623.2912617799593,644.4978845359874,6.107773e-02,6.752254e-02,6.126000e-01,5.934578e-03,2.280830e-03,2.305549e-03,2.509627e-03,1.466419e-04,0.01553878653794527,5.008660860396192e-06,0.28329248782121913,0.31458874891082145,0.7115441560745239,0.05309004018987987,0.03592838490381889,0.024002224666843687,0.03592838490381889,0.08116069607436657,0.06107773328990578,0.06752254442047169,0.6126000236645319,0.005934577550679795,0.0022808303534690433,0.002305549182919314,0.002509626536633891,0.00014664186030414184
baseline_lr1.000e-03_bs512_gpu2,baseline,512,1024,10000,2,0.001,5000,5782,6295,20.594091348000802,528.9310951479711,549.5251864959719,4.980365e-02,5.711093e-02,5.792857e-01,5.198763e-04,2.221190e-04,2.143729e-04,1.292262e-03,-7.694886e-05,0.012646189890801907,3.2311699239650296e-06,0.26949062134152757,0.28968649831098897,0.8014470784597397,0.005909986799029649,0.0010778739239324375,0.0028247711376840736,0.00537860947952129,-0.06415196445770562,0.049803647935908565,0.057110926283488135,0.5792857074313281,0.0005198763489766418,0.00022211898894486382,0.00021437292155896862,0.0012922621849037162,-7.694885802499446e-05
baseline_lr1.000e-03_bs1024_gpu2,baseline,1024,2048,10000,2,0.001,5000,4841,5390,20.65909389598528,452.4178738060291,473.0769677020144,7.388060e-02,8.396661e-02,6.341765e-01,9.004975e-03,3.458785e-03,3.486141e-03,3.664266e-03,4.479951e-04,0.015020385384559631,4.948321886460202e-06,0.22634798483857824,0.26118171125687506,0.7354762554168701,0.014934441455763139,0.01147787962312552,0.006711444546776908,0.01147787962312552,0.053060407340526576,0.07388059584837466,0.08396660729844127,0.6341765018368627,0.009004975431725544,0.0034587851190096552,0.003486141178929627,0.003664266268216032,0.00044799508050325274
baseline_lr1.000e-03_bs2048_gpu2,baseline,2048,4096,10000,2,0.001,5000,4905,5801,19.944919371046126,486.2878276919946,506.23274706304073,7.343283e-02,8.423769e-02,6.319153e-01,7.207660e-03,2.777120e-03,2.792858e-03,3.032261e-03,2.539302e-04,0.014790670946240425,3.994611250435226e-06,0.26175026188698153,0.2862505754451188,0.7068189382553101,0.03290198353228929,0.01733066916523962,0.014428598698630106,0.019665321186766893,0.07285765998065472,0.07343282720846617,0.08423768914156848,0.631915288534911,0.007207659693579046,0.0027771200713956334,0.0027928576820396645,0.0030322612103804714,0.0002539301527398719
baseline_lr1.000e-03_bs4096_gpu2,baseline,4096,8192,10000,2,0.001,5000,3168,3552,20.023089478025213,298.41814782400616,318.44123730203137,7.293583e-02,8.319734e-02,6.310777e-01,9.141473e-03,3.527366e-03,3.529496e-03,3.701394e-03,1.403814e-04,0.004291017074137926,4.169590097692068e-06,0.17710993683380433,0.18302524590141406,0.6960657835006714,0.020045600108862093,0.013381973653595836,0.009372656313421778,0.01343665501059188,0.031691054794937376,0.07293582554148603,0.08319733917824357,0.6310777213841329,0.009141473166868027,0.003527366156112155,0.0035294955124326984,0.0037013935620927585,0.0001403814057652567
linearK_lr2.000e-03_bs32_gpu2,linearK,32,64,10000,2,0.002,5000,4479,5108,20.544656398997176,428.6168109779828,449.16146737698,6.068285e-02,6.752832e-02,6.103242e-01,4.758068e-03,1.842170e-03,1.853478e-03,2.257741e-03,6.658052e-05,0.05995943024754524,4.2794496514233325e-06,0.40929207465014966,0.4823436238243154,0.7102813720703125,0.09963013148558764,0.06078627878334353,0.04341185104341708,0.06078627878334353,0.17418250071816146,0.060682848179843416,0.06752831593384,0.6103241645633568,0.004758068428595739,0.0018421700154260812,0.0018534776752256645,0.0022577407270860765,6.65805179090955e-05
linearK_lr2.000e-03_bs64_gpu2,linearK,64,128,10000,2,0.002,5000,4431,4885,20.37311151699396,411.5041004779632,431.8772119949572,6.498800e-02,7.315231e-02,6.186437e-01,6.228870e-03,2.381076e-03,2.403809e-03,2.615059e-03,1.328130e-04,0.047447919845581055,2.0260910106494695e-06,0.3153807254827071,0.36688725859545934,0.771629273891449,0.03055900761433153,0.01647368319332576,0.013114879807876272,0.017073682826012182,0.14724257982335984,0.0649879990567624,0.0731523109059278,0.618643710529119,0.006228870119013136,0.00238107595489212,0.002403809177400371,0.002615059052055946,0.00013281299397505304
