model_name,lr_law,batch_size_per_gpu,global_batch_size,n_f,num_gpus,learning_rate,adam_steps,training_time_sec,l2_error,l2_t0.25,l2_t0.5,l2_t0.75,l2_t1.0,final_loss,lambda_f,lambda_ic,lambda_bc,n_parameters,seed,scheduler,grad_sync,local_points,batch_exceeds_local_data,unique_points_per_batch,gpu_name,torch_version,l2_100t,l2_100t_std,l2_norm,l2_mean,l_inf,mass_balance_rel_mean,mass_balance_rel_final,mass_balance_mean,mass_balance_max,mass_t0
baseline_lr1.000e-03_bs32_gpu2,baseline,32,64,10000,2,0.001,15000,64.08526884787716,0.2556359454182557,0.3808191447716421,0.35636129282508733,0.26961823157907006,0.01574511249722328,0.05612640827894211,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,3.041374e-01,1.561896e-01,2.800702e-01,3.041374e-01,7.047400e-01,7.945050e-02,5.042527e-02,3.611056e-02,5.042527e-02,7.069501e-02
baseline_lr1.000e-03_bs64_gpu2,baseline,64,128,10000,2,0.001,15000,62.99927435303107,0.2287007616048052,0.3119452839239242,0.32130047153484814,0.26598721720607765,0.015570073754370951,0.07373569160699844,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.779965e-01,1.704361e-01,2.527616e-01,2.779965e-01,8.518622e-01,7.560885e-02,4.374111e-02,3.331901e-02,4.377357e-02,7.351923e-02
baseline_lr1.000e-03_bs128_gpu2,baseline,128,256,10000,2,0.001,15000,61.770641156006604,0.05111810011086141,0.06397238521346954,0.05366790414006313,0.07637094487941373,0.010461166210499214,0.014354288578033447,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,7.081707e-02,5.851246e-02,5.827275e-02,7.081705e-02,7.120316e-01,4.663062e-03,1.488253e-03,1.746914e-03,2.718922e-03,-3.423158e-03
baseline_lr1.000e-03_bs256_gpu2,baseline,256,512,10000,2,0.001,15000,62.75676784804091,0.7676679703223203,1.0081706318067463,0.8023022477959134,0.7058000905459552,0.5543989111406664,0.39209309220314026,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,256,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,8.220881e-01,1.466924e-01,7.533100e-01,8.220881e-01,1.030435e+00,6.219419e-02,7.085953e-02,3.359194e-02,7.085953e-02,-1.881591e-02
baseline_lr1.000e-03_bs512_gpu2,baseline,512,1024,10000,2,0.001,15000,62.20676355599426,0.046651297063137157,0.07363132840166269,0.05600369797543187,0.047585533918117824,0.009384627957336245,0.013074307702481747,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,7.029918e-02,5.441746e-02,5.539969e-02,7.029914e-02,5.719269e-01,7.423114e-03,3.806237e-03,3.158757e-03,4.272843e-03,2.392898e-03
baseline_lr1.000e-03_bs1024_gpu2,baseline,1024,2048,10000,2,0.001,15000,64.58129516197369,0.07882268381387751,0.14735677436641165,0.10186095161869425,0.05805460360694565,0.008018405663458518,0.014253197237849236,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,1.063479e-01,6.892602e-02,8.781729e-02,1.063479e-01,6.531054e-01,3.748987e-03,3.400036e-04,1.029249e-03,2.461323e-03,6.010844e-03
baseline_lr1.000e-03_bs2048_gpu2,baseline,2048,4096,10000,2,0.001,15000,61.847287555923685,0.47639343381699845,0.8384423614652052,0.5423189516234638,0.43003089789700416,0.09478152428232076,0.19498074054718018,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,5.733900e-01,2.066156e-01,4.956010e-01,5.733900e-01,8.332342e-01,2.167468e-02,1.607456e-02,9.892262e-03,1.607456e-02,3.402011e-02
baseline_lr1.000e-03_bs4096_gpu2,baseline,4096,8192,10000,2,0.001,15000,63.556966559030116,0.22842760529497677,0.32593215921861357,0.31511561276756955,0.26738529904141733,0.005277350152306548,0.03695419430732727,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,4096,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.644109e-01,1.350247e-01,2.498289e-01,2.644109e-01,6.996093e-01,6.053083e-02,3.534735e-02,2.660696e-02,3.553074e-02,5.715253e-02
linearK_lr2.000e-03_bs32_gpu2,linearK,32,64,10000,2,0.002,15000,61.43475476605818,0.20588353146668015,0.26152833739226883,0.2842666661561251,0.26346915020238015,0.014269972115946453,0.0713912695646286,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.548986e-01,1.697816e-01,2.275834e-01,2.548986e-01,8.557556e-01,6.580269e-02,3.938486e-02,2.888547e-02,3.938486e-02,6.313219e-02
linearK_lr2.000e-03_bs64_gpu2,linearK,64,128,10000,2,0.002,15000,62.59847177914344,0.1456265298058436,0.18155520806299363,0.18209676720687457,0.2046195758158236,0.014234568137682497,0.07079126685857773,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.259030e-01,2.106394e-01,1.784428e-01,2.259030e-01,8.442727e-01,5.633722e-02,3.208665e-02,2.457432e-02,3.247932e-02,5.520780e-02
