rank,model_name,lr_law,batch_size_per_gpu,global_batch_size,n_f,num_gpus,learning_rate,adam_steps,training_time_sec,l2_error,l2_t0.25,l2_t0.5,l2_t0.75,l2_t1.0,final_loss,lambda_f,lambda_ic,lambda_bc,n_parameters,seed,scheduler,grad_sync,local_points,batch_exceeds_local_data,unique_points_per_batch,gpu_name,torch_version
1,linearK_lr2.000e-03_bs4096_gpu2,linearK,4096,8192,10000,2,0.002,15000,60.786203919909894,0.1596507294667402,0.21757044495192493,0.21095633447749743,0.2073396378931009,0.0027365005444375287,0.011361530050635338,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,4096,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
2,sqrtK_lr1.414e-03_bs32_gpu2,sqrtK,32,64,10000,2,0.0014142135623730952,15000,60.85158190294169,0.1370820120682238,0.27316911173559477,0.09720568445140214,0.15733346175920462,0.020619790326693574,0.07409375160932541,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
3,linearK_lr2.000e-03_bs2048_gpu2,linearK,2048,4096,10000,2,0.002,15000,60.912939325906336,0.0611655156710617,0.07908857737237937,0.08265893101610007,0.08058627573355401,0.002328278562213352,0.004864117596298456,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
4,linearK_lr2.000e-03_bs32_gpu2,linearK,32,64,10000,2,0.002,15000,61.43475476605818,0.20588353146668015,0.26152833739226883,0.2842666661561251,0.26346915020238015,0.014269972115946453,0.0713912695646286,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
5,baseline_lr1.000e-03_bs128_gpu2,baseline,128,256,10000,2,0.001,15000,61.770641156006604,0.05111810011086141,0.06397238521346954,0.05366790414006313,0.07637094487941373,0.010461166210499214,0.014354288578033447,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
6,baseline_lr1.000e-03_bs2048_gpu2,baseline,2048,4096,10000,2,0.001,15000,61.847287555923685,0.47639343381699845,0.8384423614652052,0.5423189516234638,0.43003089789700416,0.09478152428232076,0.19498074054718018,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
7,sqrtK_lr1.414e-03_bs128_gpu2,sqrtK,128,256,10000,2,0.0014142135623730952,15000,62.03585378290154,0.16438172295779332,0.22141464913049558,0.21561214513632565,0.21023798327469548,0.010262114289656584,0.021082470193505287,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
8,sqrtK_lr1.414e-03_bs1024_gpu2,sqrtK,1024,2048,10000,2,0.0014142135623730952,15000,62.12743134214543,0.0558013842877553,0.07494109709277322,0.07343442025443243,0.0712957744592989,0.0035342453445166284,0.006850468926131725,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
9,baseline_lr1.000e-03_bs512_gpu2,baseline,512,1024,10000,2,0.001,15000,62.20676355599426,0.046651297063137157,0.07363132840166269,0.05600369797543187,0.047585533918117824,0.009384627957336245,0.013074307702481747,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
10,linearK_lr2.000e-03_bs128_gpu2,linearK,128,256,10000,2,0.002,15000,62.262854050146416,0.2158253616659554,0.3010576419392573,0.2894311966299553,0.26638420351525294,0.006428404579356051,0.031063660979270935,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128
